"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIF15",11.326699143994,0.20364184692609,0.086600506818601,2.35150871983523,0.018697451378125,0.0919789186719191
"GNPDA2",5.06326946274001,0.23699345730557,0.100778383969104,2.35162986318799,0.0186913638375014,0.0919789186719191
"LYN",19.6067993552245,0.200666407146235,0.085336693638988,2.35146686131458,0.018699555202057,0.0919789186719191
"PLEKHJ1",1.78387874131779,-0.455805622286591,0.193816368174818,-2.35173956967074,0.0186858525040055,0.0919789186719191
"HSPBAP1",6.62766528045985,0.206300347170886,0.0877433958566928,2.35117805911942,0.0187140761459708,0.0920202632235181
"NDUFB10",0.792407796454663,-0.689814278840253,0.293403058683327,-2.35108073493118,0.0187189718176356,0.0920202632235181
"NDP",2.5330509735256,0.29713592312186,0.126390739147542,2.35093112933694,0.0187264995711907,0.0920302010681804
"TXNDC16",16.9560105980569,0.196466675794484,0.0835873561361064,2.3504353394618,0.0187514653254854,0.0921258058348512
"KIF6",43.1962889723234,0.18338745146198,0.0780424360183624,2.34984273708257,0.0187813443171632,0.0922454860173568
"FOXN2",8.0124852720701,0.185358506435492,0.078885755632524,2.34970819445469,0.018788133749707,0.0922517237052302
"RP4-534D1.6",17.2386077006047,0.186100920225724,0.0792147747292563,2.34932082887047,0.0188076933917614,0.0923206423935097
"GDA",14.8379929354912,0.199934293688281,0.0851495906685607,2.34803587566864,0.0188727034197471,0.0926125557714777
"UTP18",4.99936412593923,0.225730718237627,0.0961610895371103,2.34742263554027,0.018903798480086,0.0927379183434566
"FZD7",0.628530251065471,-0.548412268449128,0.233647115639565,-2.34718184706862,0.0189160201865519,0.0927619173447429
"CACNB2",44.2320250965051,0.175799303420399,0.074900402417681,2.34710759549804,0.0189197903690456,0.0927619173447429
"PFN2",12.358569435975,0.196236305079542,0.0836155556372095,2.34688753287691,0.018930968083561,0.0927895016271666
"FN1",9.23835892007943,0.188628806432193,0.0803820865292264,2.34665227760179,0.0189429238698006,0.0928208823101282
