"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MKI67",5.95283112968834,1.07212008063546,0.302867634469597,3.53989650466626,0.000400283973596168,0.0333355540153809
"IFITM3",2.16647859365863,1.65774602094657,0.468911633621449,3.53530580622119,0.000407303496469946,0.0335210777594766
"MROH8",8.56731568430641,0.735270750392303,0.207950010402433,3.53580530709942,0.000406534184280585,0.0335210777594766
"BCL2L1",12.9244729252851,0.865690465412115,0.245023846149393,3.53308659143443,0.000410737917399502,0.0336060479668797
"ITPR1",39.5621178041971,-0.377885465799537,0.107167571535185,-3.52611765281506,0.000421699585590234,0.0339181504833704
"FOXB1",5.0986438092883,-0.965520979387928,0.273771832366521,-3.52673600874799,0.000420716019094353,0.0339181504833704
"HS3ST2",9.57647712625185,-0.666688587586203,0.189075800068629,-3.52603869635466,0.000421825329433668,0.0339181504833704
"SHANK3",7.45530239586852,0.9737376135204,0.276324790757477,3.52388799734955,0.000425263968380051,0.0339992467520302
"XIRP1",3.10979829445014,1.5827231837736,0.451692164167953,3.50398636356485,0.000458348827947975,0.0364361275671598
"CBLN2",8.15842593421023,-0.72151830927484,0.20603504673632,-3.50192028348569,0.000461917801621281,0.0365123839688325
"FCRL6",2.00090244641206,-1.69718585089353,0.485181372961727,-3.49804412426899,0.000468683584813073,0.036839056377077
"PLA2G5",6.95104429531046,-0.818666119095955,0.234385600230426,-3.49281746955068,0.00047795308913923,0.0371502315008165
"GNG4",8.01471968866444,-0.851202719263269,0.243684829916901,-3.4930476367919,0.000477541312435584,0.0371502315008165
